epoch,train_loss,val_loss
1,0.5530097456205458,0.48609947380812274
2,0.4921274653502873,0.41773052578387054
3,0.43917122010200743,0.3679482444472935
4,0.4102275333707295,0.3346933592920718
5,0.39138708133546135,0.3110192651334016
6,0.36454781369557454,0.2978281067765277
7,0.34926087799526395,0.28861937963444256
8,0.3423084739654783,0.2847168626992599
9,0.3353919235486833,0.2806459768958714
10,0.32996558575403123,0.27861684560775757
11,0.3220036881310599,0.27815450792727264
12,0.31627672059195383,0.27625899340795435
13,0.3089872466193305,0.27504236283509625
14,0.3115822540389167,0.2747586304726808
15,0.3068008205247304,0.2775097722592561
16,0.3048760550362723,0.2749423203261002
17,0.2957138518492381,0.2742150529571202
18,0.29520144774800255,0.27089093042456586
19,0.2896263069576687,0.27463770042295044
20,0.2886698960311829,0.27591953847719275
21,0.2885704097293672,0.2737014047477556
22,0.2823138388376387,0.27305504031803296
23,0.28371179151156595,0.2742133373799531
24,0.2799627085526784,0.27424005969710974
25,0.2758898489058964,0.2788698349310004
26,0.2700286848204477,0.2749513724575872
27,0.2679808371596866,0.27236146512238874
28,0.26727329076282563,0.2788761439530746
29,0.2681672043270535,0.27645140368005505
30,0.2601759433746338,0.2795955396216849
31,0.25841165156591506,0.27517629188040027
32,0.25651637334672234,0.28057080248127814
33,0.2382703669487484,0.2805516279262045
34,0.24264809985955557,0.28009543211563775
35,0.23461631224268958,0.28809188241543976
36,0.24667668791990432,0.287758724844974
